,city,comments,country,date posted,datetime,duration (hours/min),duration (seconds),latitude,longitude,shape,state
4,kaneohe,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,us,1/22/2004,10/10/1960 20:00,15 minutes,900,21.4180556,-157.8036111,light,hi
5,bristol,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi,us,4/27/2007,10/10/1961 19:00,5 minutes,300,36.595,-82.18888890000001,sphere,tn
6,penarth (uk/wales),penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,gb,2/14/2006,10/10/1965 21:00,about 3 mins,180,51.434722,-3.18,circle,
7,norwalk,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,us,10/2/1999,10/10/1965 23:45,20 minutes,1200,41.1175,-73.4083333,disk,ct
8,pell city,Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama,us,3/19/2009,10/10/1966 20:00,3  minutes,180,33.5861111,-86.28611109999999,disk,al
9,live oak,Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info,us,5/11/2005,10/10/1966 21:00,several minutes,120,30.2947222,-82.9841667,disk,fl
10,hawthorne,ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .,us,10/31/2003,10/10/1968 13:00,5 min.,300,33.9163889,-118.35166670000001,circle,ca
11,brevard,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,us,6/12/2008,10/10/1968 19:00,3 minutes,180,35.2333333,-82.7344444,fireball,nc
12,bellmore,silver disc seen by family and neighbors,us,5/11/2000,10/10/1970 16:00,30 min.,1800,40.6686111,-73.5275,disk,ny
13,manchester,Slow moving&#44 silent craft accelerated at an unbelievable angle and speed.,us,2/14/2008,10/10/1970 19:00,3 minutes,180,37.1536111,-83.7619444,unknown,ky
14,lexington,green oval shaped light over my local church&#44power lines down..,us,2/14/2010,10/10/1971 21:00,30 seconds,30,35.8238889,-80.25361109999999,oval,nc
15,harlan county,On october 10&#44 1972 myself&#44my 5yrs.daughter&#442 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge,us,9/15/2005,10/10/1972 19:00,20minutes,1200,36.8430556,-83.3219444,circle,ky
16,west bloomfield,The UFO was so close&#44 my battery in the car went to zero amps&#44 stalling the engine&#44 turning off my lights and radio.,us,8/14/2007,10/10/1972 22:30,2 minutes,120,42.5377778,-83.2330556,disk,mi
17,niantic,Oh&#44 what a night &#33  Two (2) saucer-shaped&#44 glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.,us,9/24/2003,10/10/1973 19:00,20-30 min,1800,41.3252778,-72.1936111,disk,ct
18,bermuda nas,saw fast moving blip on the radar scope thin went outside and saw it again.,,1/11/2002,10/10/1973 23:00,20 sec.,20,32.364167,-64.678611,light,
19,hudson,Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l,us,8/10/1999,10/10/1974 19:30,45 minutes,2700,42.3916667,-71.5666667,other,ma
20,cardiff (uk/wales),back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca,gb,2/1/2007,10/10/1974 21:30,20 minutes,1200,51.5,-3.2,disk,
21,hudson,The light chased us.,us,7/25/2004,10/10/1974 23:00,one hour?,1200,38.1055556,-98.6597222,light,ks
22,north charleston,Several Flashing UFO lights over Charleston Naval Base in S.C.,us,2/14/2008,10/10/1975 17:00,5-6 minutes,360,32.8544444,-79.975,light,sc
23,washougal,Three extremely large lights hanging above nearby trees.,us,2/7/2014,10/10/1976 20:30,1 minute,60,45.5827778,-122.3522222,oval,wa
24,stoke mandeville (uk/england),White object over Buckinghamshire UK.,gb,12/12/2009,10/10/1976 22:00,3 seconds,3,51.783333,-0.783333,cigar,
25,san antonio,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind,us,2/24/2005,10/10/1977 12:00,30 seconds,30,29.4238889,-98.4933333,other,tx
26,louisville,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.,us,3/17/2004,10/10/1977 22:00,approx: 30 seconds,30,38.2541667,-85.7594444,light,ky
27,elmont,A memory I will never forget that happened meny years ago.,us,2/1/2007,10/10/1978 02:00,5min,300,40.7008333,-73.7133333,rectangle,ny
28,poughkeepsie,1/4 moon-like&#44  its &#39chord&#39 or flat side parallel to horizon&#44  bright orange-red glow&#44  completely silent&#44 no features.,us,4/16/2005,10/10/1979 00:00,15 minutes,900,41.7002778,-73.92138890000001,chevron,ny
29,saddle lake (canada),Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.,,1/19/2005,10/10/1979 22:00,4.5 or more min.,270,53.970571,-111.689885,triangle,ab
30,san diego,My 2nd UFO sighting&#44 October 1979,us,8/5/2001,10/10/1979 22:00,3 minutes,180,32.7152778,-117.1563889,oval,ca
31,security,very low clouds all different colors&#44search lights were seen shining down out of the clouds on the houses and streets. this event was s,us,1/28/1999,10/10/1979 22:00,30mins.,1800,38.7583333,-104.7425,unknown,co
283,jupiter,EGG-SHAPED OBJECT EMITS LIGHT RAY AND PEOPLE LOSE 4 HOURS,us,7/11/2000,10/11/1973 16:45,possible 4 hrs.,14400,26.9338889,-80.0944444,egg,fl
284,brighton,round revolving lights reflecting on the fog,us,10/28/2002,10/11/1978 23:00,5 miniutes,300,42.5294444,-83.7802778,circle,mi
489,toledo,Observed dull silver metallic sphere hovering outside of bedroom window as a child.  Had direct communication with sphere.,us,11/19/1998,10/1/1961 03:00,2-3 mins.,180,41.6638889,-83.5552778,sphere,oh
490,tulsa,October&#44 1961&#44 Tulsa Oklahoma: low altitude&#44 slow&#44 disk object(s); high speed turns&#44 v. high accelleration.,us,4/27/2007,10/1/1961 03:30,2 minutes,120,36.1538889,-95.9925,disk,ok
491,nashville,In October 1961&#44 a silvery flattened disk hovered motionless over a local school fair for more than 30 minutes.,us,8/5/2012,10/1/1961 19:00,30 minutes,1800,36.1658333,-86.7844444,disk,tn
492,graham,3 flat&#44 large  white lights in delta pattern&#44 no sound&#44 flying at tree-top level at 35-40 mph,us,5/14/2002,10/1/1961 22:00,30 seconds,30,36.0688889,-79.4008333,triangle,nc
493,biloxi,Cloud&#44 hovering then moving at right angles with pulsating light coming from within,us,11/17/1999,10/1/1965 06:40,15 min,900,30.3958333,-88.8852778,other,ms
494,colonial heights,Saw sphere ping-ponging up and down and side to side in blue sky.,us,4/1/2000,10/1/1965 14:00,2 minutes,120,37.2438889,-77.4105556,sphere,va
495,dushore,It could move very slowly or very quickly but either way it moved without making any noise.,us,4/16/2005,10/1/1965 21:00,5 minutes,300,41.5241667,-76.4011111,disk,pa
496,edmonton (30 mi. east of&#44 hwy 16 east) (canada),Unusual ights in distance. Approached until object overhead as wide as road and ditch. Bright lights&#44 Turned head to find object in hor,ca,8/5/2001,10/1/1966 19:00,5 min,300,53.55,-113.5,diamond,ab
497,buffalo,One of the bright stars moved north&#44 curved upward&#44 flew in a wide arc&#44 then accelerated up into the cosmos.,us,1/11/2002,10/1/1966 20:00,4 minutes,240,42.8863889,-78.87861109999999,light,ny
498,anacortes,20 miles driving toward Anacortes&#44a friend and I were listening to a radio station in Anacortes. The DJ said he had recieved calls abou,us,4/15/2000,10/1/1966 22:00,20 mins.,1200,48.5127778,-122.6113889,light,wa
499,anamosa,large quiet  craft&#44 covered with blackness&#44 and &quot;stars&quot; to not be noticed&#44 moving slowly southwest to north north east.,us,9/17/2000,10/1/1966 22:30,60 seconds,60,42.1083333,-91.285,unknown,ia
500,corvallis,Saucer with no sound flew 100 feet above ground&#44 changed direction then left atmosphere in a split second.,us,12/16/1999,10/1/1966 23:00,2 minutes,120,44.5647222,-123.26083329999999,disk,or
501,chaffee,34 years ago and still &quot; seeking the truth&quot;,us,8/5/2001,10/1/1967 02:00,10 minutes,600,42.5680556,-78.47916670000001,sphere,ny
502,greenville,My son and I went to a ballpark close by to play- we were the only ones there&#44 I happened to look up and right over us&#44 were 3 round uf,us,2/24/2007,10/1/1967 13:00,30 seconds,30,38.8922222,-89.41305559999999,circle,il
503,hudson&#39s hope (canada),Large round silver UFO in Peace River Valley 1966-67,,2/18/2001,10/1/1967 19:00,2 minutes,120,56.031639,-121.905722,sphere,bc
504,minneapolis,In October 1967&#44 2 Disks sited heading north over Minneapolis MN.,us,4/16/2005,10/1/1967 20:00,10 seconds,10,44.98,-93.26361109999999,disk,mn
505,boston,as i woke up in the early morning a bright redish orange light bathed the living room&#44at first i thought it was a fire but the light wa,us,12/16/2005,10/1/1968 00:00,20 minutes,1200,42.3583333,-71.0602778,cigar,ma
506,kennebunkport,While at the boathouse at St.Athonys one night we noticed what at first we thought was a bright star getting larger.It seemed to dart a,us,3/19/2002,10/1/1968 20:00,5-10 minutes,600,43.3616667,-70.4772222,circle,me
507,san francisco,It was in the afternoon just before sunset at 20 Steiner St SF CA I saw above me and there was one other person who was with me on the,us,8/30/1999,10/1/1969 16:00,5-10 min,600,37.775,-122.41833329999999,oval,ca
508,viet nam,U.F.O. in Vietnam    1970,,6/4/2004,10/1/1970 00:00,5/10 minutes,600,14.058324,108.277199,light,
509,kingston (canada),Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui,ca,10/11/2005,10/1/1970 01:00,3 minutes,180,44.233333,-76.483333,sphere,on
510,new york city (brooklyn),Hoovering disk like object by Father and Son&#44 Brookyln&#44 NY 1970,us,1/21/2008,10/1/1970 16:00,3 minutes,180,40.7141667,-74.0063889,disk,ny
511,bentonville,Hoseshoe shaped,us,12/7/2006,10/1/1970 17:30,about 4 hours,14400,36.3727778,-94.20861109999998,other,ar
512,summit lake indian reservation,ball of light&#44 turned into a doughnut shape&#44 assention&#44 stream&#44 4 witnesses&#44seen from higher elevation.,,8/11/2004,10/1/1970 19:00,25min.,1500,41.524898,-119.05102,oval,nv
